region_id;parent_id;regionname;cityname;code;stat;timezone;active;lat;lon;en_regionname;en_cityname;es_regionname;es_cityname;de_regionname;de_cityname;it_regionname;it_cityname;fr_regionname;fr_cityname
1255;118;;Сегед;;0.000000;Europe/Budapest;0;46.247508;20.147243;Szeged;;Szeged;;Szeged;;Seghedino;;Szeged;
3051;13;;Севск;;0.000000;Europe/Moscow;0;52.146071;34.495461;Sevsk;;Sevsk;;Sewsk;;Sevsk;;Sevsk;
1462;55;;Севилья;;0.000000;Europe/Madrid;0;37.394550;-5.972130;Seville;;Sevilla;;Seville;;Siviglia;;Séville;
2867;53;;Северская;;0.000000;Europe/Moscow;0;44.853492;38.659415;Severskaya;;Séverskaya;;Sewerskaja;;Severskaja;;Severskaïa;
2590;126;;Северск;;0.000000;Asia/Tomsk;0;56.610545;84.888443;Seversk;;Seversk;;Sewersk;;Seversk;;Seversk;
4326;260;;Северск;;0.000000;Europe/Zaporozhye;0;48.868000;38.082000;Seversk;;Seversk;;Sewersk;;Seversk;;Seversk;
602;32;;Североуральск;;0.000000;Asia/Yekaterinburg;0;60.154690;59.942562;Severouralsk;;Severouralsk;;Sewerouralsk;;Severoural'sk;;Severoouralsk;
795;71;;Североморск;;0.000000;Europe/Moscow;0;69.075581;33.450549;Severomorsk;;Severomorsk;;Seweromorsk;;Severomorsk;;Severomorsk;
4495;267;;Северодонецк;;0.000000;Europe/Zaporozhye;0;48.933000;38.500000;Severodonetsk;;Sievierodonetsk;;Sjewjerodonezk;;Sjevjerodonec'k;;Sievierodonetsk;
432;3;;Северодвинск;;0.000249;Europe/Moscow;1;64.559620;39.838681;Severodvinsk;;Severodvinsk;;Sewerodwinsk;;Severodvinsk;;Severodvinsk;
967;129;;Северобайкальск;;0.000000;Asia/Irkutsk;0;55.635123;109.322773;Severobaykalsk;;Severobaikalsk;;Sewerobaikalsk;;Severobajkal'sk;;Severobaïkalsk;
1034;145;;Северо-Курильск;;0.000000;Asia/Srednekolymsk;0;50.683000;156.133000;Severo-Kurilsk;;Sévero-Kurilsk;;Sewero-Kurilsk;;Severo-Kuril'sk;;Severo-Kourilsk;
3520;54;;Северо-Енисейский;;0.000000;Asia/Krasnoyarsk;0;60.372930;93.026890;Severo-Yeniseysky;;Severo-Yeniseysky;;Sewero-Jenisseiski;;Severo-Enisejskij;;Severo-Ienisseïski;
3678;85;;Северное;;0.000000;Asia/Novosibirsk;0;56.349772;78.362214;Severnoye;;Severnoye;;Sewernoje;;Severnoe;;Severnoïe;
